age,annual_income,employment_years,loan_amount,loan_term_months,interest_rate,credit_score,num_credit_lines,num_delinquent_accounts,monthly_payment_capacity,last_audit_team_id,loan_defaulted
18,20538.51,6.5,3543.82,48,8.85,650,6,0,1623.61,3,0
48,50786.38,11.5,10989.65,36,8.2,699,2,0,3886.81,13,0
19,15331.92,10.6,10192.79,12,10.53,600,4,0,379.04,2,1
40,57975.38,4.1,52797.76,48,7.99,685,3,0,3542.58,1,0
38,28639.92,0.7,5811.23,24,6.88,775,4,0,2126.79,14,0
39,32022.28,2.5,8065.14,48,8.62,683,6,0,2469.27,12,0
43,111686.84,8.4,7226.77,48,8.41,651,3,0,9129.42,10,0
25,102567.99,4.0,33711.87,36,15.92,376,2,0,7363.45,9,0
37,16684.13,0.7,26168.07,36,6.7,751,0,0,585.93,2,1
24,32731.86,0.7,16267.98,48,7.88,692,0,0,2331.42,11,0
30,36638.62,4.4,19004.93,36,8.16,695,6,1,2456.27,10,0
29,15768.93,6.0,4218.42,36,10.39,603,2,1,1177.19,7,0
34,31841.0,4.4,33848.72,48,7.48,728,4,0,1835.31,1,0
42,60432.55,0.7,8407.09,12,9.98,647,4,1,4297.01,1,0
23,47778.0,0.7,9676.37,36,7.96,742,2,0,3678.46,12,0
22,24871.2,2.6,11253.73,48,9.8,625,1,0,1788.26,10,0
28,15000.0,5.6,13767.26,24,8.94,655,3,0,621.43,15,1
26,23520.35,1.2,7791.21,48,7.58,670,4,0,1771.36,8,1
34,95578.52,1.3,12622.77,48,9.1,638,2,0,7650.16,8,1
50,72377.74,0.4,15859.88,48,8.92,646,4,0,5637.41,16,0
42,37390.43,3.2,2377.39,12,10.54,585,4,1,2906.26,14,0
30,31072.43,0.9,9829.54,24,11.86,487,6,1,2127.3,7,0
21,25508.75,2.4,13195.19,12,7.53,719,2,0,980.77,12,0
30,85944.07,6.8,27339.21,24,8.68,700,5,1,5917.03,1,0
27,30467.52,8.6,3488.7,24,6.05,768,2,0,2384.26,0,1
33,25840.66,1.2,17594.62,36,8.51,617,4,0,1597.89,17,0
41,22188.22,1.2,56601.14,36,9.8,583,2,0,27.97,0,1
34,45009.72,12.5,36294.86,24,6.66,748,4,0,2131.38,2,1
18,37955.7,1.7,91112.84,36,8.42,681,4,0,290.14,3,0
46,41178.28,0.8,9428.4,60,10.35,638,4,0,3229.57,1,0
20,84309.43,5.9,5784.83,48,10.54,563,0,0,6877.56,2,1
45,43981.14,2.0,2788.1,12,6.59,803,4,0,3424.38,12,0
36,18161.5,4.0,12712.69,12,6.7,739,2,0,415.23,16,0
41,21710.12,0.3,9674.73,48,5.55,814,1,0,1583.96,13,0
30,73796.02,0.5,7187.18,36,12.63,490,2,0,5908.78,7,0
45,24722.15,13.8,7556.19,12,8.04,702,4,0,1402.74,14,0
32,45836.43,9.9,9548.02,60,9.0,641,4,0,3621.5,1,0
43,23621.29,4.5,12694.91,36,14.49,388,4,0,1531.53,1,0
21,52073.05,2.1,20853.53,48,6.13,771,0,0,3848.43,4,0
22,84704.65,9.0,8403.33,36,4.85,850,1,1,6807.43,14,0
40,126008.71,11.1,51029.64,36,8.04,701,3,0,8900.7,4,0
44,54764.42,0.2,19024.07,60,6.91,691,2,0,4187.81,1,0
38,15000.0,1.5,7625.93,48,10.3,606,3,0,1055.49,4,0
25,15000.0,5.9,44120.14,48,10.71,587,1,1,115.9,7,0
32,53883.07,2.8,10114.81,36,6.48,794,2,0,4180.34,6,0
38,77762.04,0.4,7701.7,24,7.36,770,4,0,6134.09,17,0
43,15000.0,2.9,7155.27,24,11.05,516,5,1,916.34,11,0
21,15000.0,11.8,31073.24,36,8.59,654,2,1,267.8,9,0
21,15000.0,9.6,27785.09,36,8.43,661,4,0,373.79,16,0
21,40392.97,3.2,11194.01,24,9.84,561,7,0,2850.36,5,1
34,128426.79,0.6,17157.29,48,9.39,576,6,0,10272.09,6,0
40,35872.92,4.6,50352.68,60,8.63,662,4,0,1953.19,6,0
22,36312.16,14.8,6687.73,12,7.35,716,2,0,2446.27,11,0
34,44468.54,4.6,21239.28,24,8.39,690,4,2,2741.33,17,0
64,67856.75,4.3,4626.2,48,9.3,648,2,0,5538.95,15,1
24,49969.99,2.9,38276.8,48,10.47,528,2,0,3184.7,5,1
31,56401.86,5.1,29412.5,48,10.03,614,1,0,3953.75,13,0
31,47909.23,2.9,28014.53,36,8.86,650,4,0,3103.41,16,0
31,25948.82,5.2,56074.82,36,10.02,607,1,0,352.5,9,0
32,15000.0,4.6,17510.21,36,11.0,548,3,0,676.74,14,0
49,48098.24,3.1,24885.2,60,8.96,659,5,0,3492.09,14,0
32,53847.1,2.8,22483.04,24,11.64,549,3,1,3432.68,16,0
28,37328.65,3.5,34214.99,36,5.37,808,1,0,2079.57,5,1
55,15000.0,7.6,25332.68,60,10.86,538,1,0,700.97,15,1
34,21675.04,1.4,7580.84,48,9.8,625,3,0,1614.71,10,0
55,15000.0,7.4,15307.3,24,10.07,635,5,0,543.15,10,0
20,129835.61,1.8,10934.01,36,8.93,636,4,0,10472.29,1,0
47,60772.75,8.1,5939.13,48,7.6,701,3,0,4920.52,15,1
46,22623.64,0.5,25661.26,24,5.58,800,2,0,752.83,7,0
43,18565.97,9.3,46609.16,36,6.84,773,4,0,111.42,3,0
27,26804.01,0.9,14844.33,12,8.53,710,5,0,938.74,1,0
24,20567.96,7.4,20719.07,36,9.59,650,5,0,1049.43,17,0
36,51819.19,3.5,3523.27,48,11.08,562,3,0,4227.07,9,0
46,60134.58,8.6,18959.38,36,8.58,656,6,0,4412.01,16,0
38,15000.0,7.2,23942.08,12,9.84,600,1,0,-853.11,4,0
28,41368.09,8.3,8151.87,24,9.06,658,3,0,3074.7,4,0
28,18062.09,1.8,24194.15,48,8.67,674,1,1,906.89,15,1
46,18077.62,0.8,12343.94,36,10.99,535,7,0,1102.4,2,1
49,17708.06,2.5,11446.3,36,11.08,568,2,1,1100.5,10,0
29,46859.97,3.3,4481.44,24,9.39,632,3,0,3699.46,12,0
36,56798.76,2.5,9792.55,48,7.69,737,3,0,4495.59,9,0
42,27383.05,0.7,17559.46,24,11.93,484,1,0,1455.91,13,0
47,52959.04,4.1,5479.83,36,6.24,782,1,0,4245.95,15,1
27,16980.58,6.5,23322.79,48,9.97,605,4,1,823.86,7,0
32,81985.48,3.4,5427.69,36,7.97,686,3,1,6662.11,13,0
33,31183.41,6.6,7810.85,48,13.23,471,2,0,2388.18,17,0
42,31139.09,1.1,67884.35,36,9.38,645,0,0,424.19,9,0
23,77715.07,1.7,83580.66,24,8.43,677,2,0,2679.72,1,0
29,20120.26,0.6,31000.08,36,8.86,687,1,0,692.91,9,0
24,53235.42,6.0,66467.9,36,11.29,570,4,0,2251.07,1,0
31,137761.05,0.8,8960.38,36,12.82,456,3,0,11178.95,4,0
27,16316.63,6.1,11869.19,48,9.23,622,3,1,1063.06,3,0
35,19713.66,5.7,16748.15,36,5.62,812,7,0,1136.17,12,0
40,45712.94,0.9,3501.0,48,10.17,601,5,0,3720.33,7,0
24,21524.45,4.3,4567.75,36,8.42,704,5,1,1649.68,14,0
46,24109.35,3.5,34190.92,24,9.35,684,0,0,441.61,6,0
33,22698.04,14.4,27980.85,36,12.61,484,6,1,953.97,4,0
19,27471.62,0.7,27752.89,48,6.26,773,3,3,1634.21,1,0
26,44140.02,0.2,32153.63,36,6.89,756,3,0,2687.14,16,0
39,35400.7,4.1,20468.49,36,9.79,641,3,0,2291.61,7,0
30,57181.33,2.2,24989.19,36,8.74,659,2,0,3973.48,16,0
27,104669.65,6.3,20488.89,36,7.66,646,4,0,8083.63,7,0
39,50020.12,0.5,15392.02,60,13.64,418,3,1,3813.06,5,1
31,24684.5,9.6,17385.91,12,11.61,520,2,0,515.49,10,0
40,26778.77,5.7,11054.03,12,8.3,706,2,0,1268.46,11,0
23,17399.3,5.2,28432.98,60,7.75,742,8,0,876.82,17,0
18,15000.0,4.8,4665.25,48,8.25,691,4,1,1135.56,3,0
20,31463.94,5.7,24049.37,48,11.1,564,1,0,1999.26,0,1
55,52450.15,0.9,14486.45,12,7.25,700,4,1,3115.71,8,1
25,15000.0,1.3,6131.05,36,12.86,444,1,0,1043.83,14,0
41,57978.83,3.1,28673.53,36,10.66,569,4,0,3897.44,8,1
46,54724.63,5.1,25170.73,36,8.2,695,2,0,3769.3,4,0
35,55982.95,6.8,9133.61,48,10.49,541,2,0,4431.44,13,0
32,72523.59,3.3,12914.47,36,9.12,622,4,1,5632.23,14,0
38,50052.24,2.0,10947.53,36,8.02,714,4,0,3827.86,16,0
35,15000.0,3.9,14007.38,36,10.47,552,2,0,794.92,13,0
30,31998.2,6.9,22971.79,24,9.62,639,3,0,1610.51,4,0
34,104471.21,6.1,6922.56,36,12.85,483,4,0,8473.19,8,1
43,130437.96,6.4,46606.54,48,11.69,508,4,1,9649.58,1,0
24,19953.55,6.8,11363.98,36,9.6,610,1,0,1298.24,2,1
37,115398.57,0.9,5257.47,60,10.63,587,3,0,9503.21,17,0
27,57082.81,0.7,7731.56,36,6.44,819,3,1,4520.15,15,1
29,15000.0,4.9,3740.2,36,10.38,622,1,0,1128.65,17,0
44,32860.33,6.5,56164.89,24,7.46,718,4,0,211.98,12,0
34,55915.98,2.6,15826.29,36,7.82,726,1,0,4165.04,13,0
55,29946.34,3.8,14636.9,24,11.53,508,4,0,1809.73,12,0
30,43422.36,0.3,35892.85,24,9.06,638,2,1,1977.79,9,0
35,18721.07,2.1,49103.99,60,4.94,850,5,1,634.79,9,0
33,58053.31,1.3,12708.95,36,7.79,717,2,0,4440.75,16,0
27,28869.57,0.4,22083.74,36,4.86,833,8,0,1745.32,14,0
38,43102.76,6.2,9172.72,48,6.9,782,2,1,3372.67,10,0
32,17645.32,5.3,10084.56,36,5.64,815,3,0,1165.29,1,0
19,26820.36,3.6,2263.23,48,8.4,651,4,0,2179.35,3,0
41,49009.92,8.2,12361.49,36,11.2,600,2,0,3678.29,11,0
30,25638.27,6.4,6655.81,36,6.97,724,6,0,1931.1,15,1
45,55769.24,2.4,14467.11,24,8.46,688,5,0,3990.09,7,0
31,83021.52,12.5,7207.61,48,14.23,395,2,1,6720.67,0,1
29,130056.51,10.0,24525.6,48,10.45,555,5,0,10210.7,2,1
36,112047.61,5.3,10810.93,36,9.83,614,2,2,8989.32,17,0
34,35706.21,2.9,12397.28,60,6.64,806,2,1,2732.14,1,0
36,35027.65,4.8,4295.3,24,10.88,592,3,0,2719.02,17,0
46,63264.09,5.7,36034.22,48,7.78,738,4,0,4396.02,15,1
41,67175.13,1.5,56842.3,48,8.71,650,4,0,4191.22,4,0
37,29425.04,15.6,7905.7,12,7.19,711,5,0,1767.34,1,0
18,41803.98,6.5,8570.26,48,8.24,660,3,1,3273.47,7,0
40,107796.2,3.0,16706.05,48,8.5,676,3,0,8571.24,9,0
36,40895.67,3.2,21972.15,48,8.72,688,3,0,2864.11,16,0
21,23495.27,2.2,8759.96,36,9.19,617,2,1,1678.6,17,0
40,15000.0,0.8,27766.97,24,6.64,792,5,0,11.33,10,0
45,21150.85,2.0,13502.33,36,14.22,389,3,0,1299.65,16,0
33,45284.35,11.3,7845.19,24,7.28,748,7,0,3421.45,1,0
25,34314.63,8.0,12602.88,36,10.0,606,1,0,2452.89,11,0
39,26269.1,0.9,17151.48,24,10.42,612,2,0,1394.31,4,0
22,69198.69,8.2,25286.25,60,7.1,730,5,0,5264.67,16,0
25,65692.48,4.9,3857.74,36,9.55,605,1,0,5350.71,7,0
40,33363.46,3.3,4644.94,48,9.19,651,2,1,2664.28,12,0
48,27230.8,5.2,2274.65,36,8.91,655,2,0,2197.0,1,0
29,45757.22,4.3,17179.24,60,8.12,715,1,0,3463.78,10,0
33,39366.4,1.0,3686.27,12,10.29,618,4,0,2955.95,16,0
27,30278.01,15.4,19880.85,24,10.56,594,3,0,1600.62,14,0
26,64233.43,11.0,13016.27,24,10.73,550,1,0,4747.76,11,0
19,46066.81,3.9,8651.27,36,9.2,674,5,0,3562.99,9,0
23,104384.37,3.1,24615.77,24,6.84,764,1,0,7598.37,7,0
28,16888.06,2.1,13400.48,36,7.73,693,2,0,989.08,14,0
24,31007.8,0.1,14493.35,36,11.87,500,4,0,2103.5,15,1
19,53400.16,9.7,4638.61,24,6.64,753,2,0,4243.09,6,0
33,21114.62,6.5,36566.75,12,10.44,568,3,1,-1462.73,0,1
35,83972.63,4.2,5129.28,48,12.28,533,2,0,6861.94,15,1
33,22043.33,6.6,8491.57,36,7.67,696,6,1,1572.14,10,0
35,44292.69,0.6,7319.17,48,6.73,752,4,1,3516.71,6,0
34,25326.2,7.3,11762.21,12,8.38,722,6,0,1085.27,6,0
25,35006.42,4.4,2155.26,24,7.33,712,2,1,2820.38,6,0
27,27202.91,9.1,13986.72,36,10.11,590,1,0,1814.87,5,1
41,15000.0,5.8,22474.68,36,6.52,746,2,0,560.97,13,0
25,46785.82,4.4,13950.47,48,11.21,547,3,2,3536.84,3,0
25,72443.32,1.3,7619.31,12,9.32,607,4,0,5369.49,12,0
34,15000.0,3.0,20986.7,24,9.97,642,6,1,281.86,15,1
39,39154.38,1.8,16982.95,12,7.01,752,3,0,1793.31,4,0
18,15000.0,8.4,9199.88,12,8.35,665,6,0,448.23,2,1
31,58074.45,6.0,53072.95,24,10.94,524,1,0,2367.4,13,0
41,28067.26,3.6,41938.89,24,10.01,597,3,0,403.48,2,1
29,32024.57,0.4,23886.5,24,13.43,442,3,0,1528.28,9,0
29,56053.69,3.2,13320.7,48,10.52,603,0,0,4329.96,4,0
40,34286.41,2.8,13916.32,48,9.18,679,4,0,2509.7,9,0
32,20636.86,12.6,25118.22,12,6.41,833,5,0,-446.83,5,1
31,15000.0,0.1,40190.04,24,6.88,758,1,0,-547.23,17,0
30,20268.17,3.7,3934.61,48,9.81,637,4,1,1589.58,3,0
39,15335.88,5.9,36844.31,36,9.56,622,2,0,96.72,1,0
37,59565.24,2.0,23853.45,48,9.72,595,4,1,4361.99,8,1
35,153026.57,6.5,7676.71,12,5.35,802,2,0,12093.8,12,0
32,45552.85,10.9,14682.94,24,6.5,746,2,0,3142.0,17,0
30,49789.96,11.6,14728.76,12,9.45,610,4,1,2858.04,13,0
28,64627.56,6.1,14893.22,36,10.47,592,5,0,4901.77,4,0
20,68224.15,5.0,6729.57,36,7.99,688,4,0,5474.5,0,1
34,36869.45,0.9,11036.05,48,8.21,719,3,0,2801.94,8,1
23,30640.87,12.7,14800.78,12,10.1,586,4,0,1251.49,5,1
34,21426.95,17.1,5440.6,36,8.28,661,6,0,1614.39,4,0
35,35447.2,6.1,23456.21,60,11.4,504,3,0,2439.25,6,0
55,48459.32,4.0,11764.38,60,9.37,597,1,0,3791.95,9,0
18,24604.5,8.6,19882.37,48,9.65,613,4,0,1549.44,14,0
49,15000.0,7.7,6941.63,48,8.26,725,3,0,1079.69,3,0
27,103975.38,0.4,21249.54,48,7.2,754,3,0,8153.79,7,0
44,15000.0,0.9,7374.54,60,7.21,749,3,0,1103.24,0,1
28,26694.76,5.1,3297.27,48,9.05,632,2,0,2142.43,17,0
18,15136.26,6.0,13355.25,48,7.4,738,4,0,939.06,7,0
33,16403.97,5.3,5147.36,12,9.17,641,0,1,916.45,4,0
18,20792.99,15.2,8958.48,36,12.59,547,1,0,1432.67,16,0
36,33033.12,1.1,21680.31,48,9.0,683,1,0,2213.24,8,1
31,37449.02,7.9,64942.75,24,9.75,612,3,0,131.46,5,1
44,43453.76,2.0,69901.2,24,11.06,540,3,0,361.26,2,1
29,15000.0,2.3,15102.31,24,9.64,588,6,1,555.61,12,0
48,18634.87,0.1,15661.07,24,10.24,611,2,0,828.49,11,0
23,116793.85,3.9,70190.45,36,6.76,763,1,1,7573.24,0,1
31,50324.47,3.3,12892.29,48,9.01,659,6,0,3872.82,4,0
48,78553.62,0.2,59928.78,48,10.2,600,0,0,5020.42,10,0
30,76404.77,9.3,7719.72,36,11.97,498,1,0,6110.77,9,0
48,51063.56,4.1,15305.33,48,8.31,706,4,0,3879.42,16,0
28,21558.27,3.3,5643.7,48,10.78,602,3,0,1651.26,11,0
28,26118.66,0.3,29801.92,12,8.78,661,1,0,-426.63,9,0
27,196447.04,8.9,18276.98,12,12.67,453,1,0,14740.96,16,0
58,64513.9,13.9,2796.33,48,5.89,845,2,0,5310.63,17,0
32,32741.8,0.8,11841.03,48,8.96,652,5,0,2434.04,9,0
44,139367.02,3.5,14745.65,60,10.72,568,3,1,11295.37,0,1
29,63338.51,0.2,64884.63,24,4.54,850,2,0,2444.98,13,0
30,42549.06,1.6,3709.77,48,14.48,389,4,0,3443.48,14,0
32,52378.6,33.5,59052.41,60,7.48,691,2,0,3182.15,13,0
31,71241.09,13.8,37109.73,24,6.93,695,2,0,4276.44,1,0
33,25241.07,1.5,12809.98,24,7.87,654,4,1,1524.82,12,0
40,15000.0,8.6,46990.52,12,8.28,662,9,0,-2843.72,11,0
30,35714.4,4.0,19897.44,12,10.66,585,2,0,1220.79,7,0
34,133912.2,13.6,2700.26,48,11.53,529,1,0,11088.86,8,1
49,66034.97,4.2,23598.67,48,10.54,553,2,0,4898.25,8,1
29,129311.17,4.6,20528.3,48,11.42,501,3,0,10241.17,0,1
37,55619.5,8.9,22969.68,48,9.59,679,2,1,4056.9,1,0
48,25689.85,5.6,6239.01,60,8.21,691,2,0,2013.69,2,1
37,15000.0,0.7,35856.98,36,6.82,738,2,1,145.79,12,0
18,16920.27,5.2,5045.2,48,6.42,763,0,0,1290.56,5,1
33,153629.0,3.5,11566.49,24,8.93,673,2,1,12274.38,6,0
26,23573.79,3.5,6811.01,36,11.6,535,3,0,1739.56,5,1
40,46463.72,0.4,12224.67,48,10.56,614,2,0,3558.63,13,0
24,39885.15,6.1,18045.58,12,8.3,678,6,0,1751.5,11,0
39,22315.75,7.2,37852.3,36,10.98,572,3,0,620.77,16,0
36,57252.0,3.1,7885.55,36,12.71,457,4,0,4506.4,10,0
39,20589.57,0.3,23995.26,60,9.41,629,1,0,1212.91,17,0
37,37547.84,3.3,31649.83,24,8.89,646,0,0,1684.67,0,1
29,15000.0,6.6,1632.93,48,12.19,502,1,0,1206.85,12,0
42,25169.0,2.0,37229.7,36,8.75,703,2,0,917.85,1,0
33,15917.23,6.0,1457.94,48,8.5,701,4,0,1290.5,16,0
34,80036.22,9.6,9098.63,36,9.22,641,4,0,6379.42,11,0
31,15000.0,1.1,5110.51,12,7.43,727,3,0,806.79,4,0
26,33632.28,1.5,13446.03,48,8.8,680,4,0,2469.36,14,0
44,15000.0,5.2,7484.88,36,7.71,786,3,0,1016.45,15,1
38,20879.61,5.0,3422.82,48,6.49,761,3,0,1658.81,6,0
31,32976.48,2.4,36979.98,48,7.88,723,2,1,1847.33,4,0
36,27117.53,1.0,13734.35,36,7.54,726,3,2,1832.32,15,1
39,47619.8,2.4,21500.65,24,5.01,850,3,0,3024.96,1,0
18,48832.73,2.9,27089.9,36,10.09,594,0,0,3194.13,1,0
41,16179.16,5.9,12192.84,60,8.16,653,2,0,1100.1,7,0
32,24143.83,1.9,7183.24,48,11.61,539,2,0,1824.2,1,0
39,33155.05,5.2,50832.22,48,6.99,749,3,0,1545.92,9,0
42,138982.26,11.4,8005.71,36,13.32,467,4,0,11310.88,0,1
50,21773.11,1.8,11250.53,24,10.69,533,3,0,1291.68,9,0
49,33856.26,4.2,4307.64,48,12.38,461,2,0,2707.11,12,0
42,34778.57,0.9,28492.62,36,11.17,529,5,0,1963.11,2,1
30,32026.83,4.1,5135.77,24,14.53,403,3,1,2421.03,5,1
49,86077.79,3.4,10437.15,24,8.86,621,8,0,6697.0,9,0
35,28645.85,8.5,10883.26,60,9.6,607,2,0,2158.05,16,0
35,50922.03,1.1,15365.6,48,11.14,564,0,0,3845.33,9,0
23,58562.91,11.7,7282.39,60,6.72,801,2,1,4737.0,13,0
25,39938.23,4.2,56935.27,48,10.13,621,4,0,1880.6,7,0
18,132489.28,1.1,2400.26,24,8.86,636,0,1,10931.27,6,0
28,37200.43,0.9,7741.17,48,13.38,454,1,0,2890.9,6,0
43,15000.0,23.7,5179.78,36,12.39,486,4,0,1076.99,17,0
46,17274.19,2.8,15148.16,36,8.04,687,3,0,964.55,4,0
24,19911.78,4.8,8897.13,36,11.29,576,2,0,1366.81,3,0
24,22345.12,0.1,5413.19,48,10.82,588,0,1,1722.66,8,1
44,15051.94,3.4,1690.36,36,8.16,678,3,0,1201.23,15,1
25,24184.84,4.8,16611.87,12,9.21,651,4,0,561.05,8,1
44,47800.12,2.8,16530.53,48,7.49,774,3,0,3583.73,7,0
33,36241.47,2.7,82505.15,48,8.26,662,0,0,995.85,14,0
35,83723.05,1.6,42973.21,48,8.0,701,1,1,5927.82,10,0
32,81085.91,8.7,15880.96,36,5.51,835,3,0,6277.55,17,0
27,47327.55,6.7,38719.64,60,6.2,745,6,0,3191.8,15,1
23,38368.85,3.8,4960.6,60,11.44,583,1,0,3088.46,0,1
34,34987.16,0.1,22121.19,48,9.5,604,2,0,2359.84,16,0
31,71642.49,7.0,8778.61,24,9.76,611,1,0,5566.09,13,0
33,59198.91,2.4,2683.35,48,10.91,560,8,0,4864.01,6,0
42,15000.0,2.3,13414.21,36,7.26,740,5,0,834.21,13,0
31,15000.0,4.8,25162.92,48,9.5,610,1,1,617.83,14,0
23,40812.98,10.0,10483.63,24,8.89,642,3,0,2922.67,1,0
51,83392.55,1.3,19709.4,48,10.52,596,2,0,6444.56,7,0
18,70939.64,4.8,10722.32,36,10.15,569,2,0,5564.9,8,1
32,45004.57,8.3,78622.76,36,10.24,620,8,0,1204.58,3,0
31,21248.52,6.6,13329.99,12,10.15,652,2,1,597.86,3,0
39,25531.04,0.5,12761.72,24,9.44,664,4,0,1541.99,5,1
48,66552.81,10.7,4322.16,24,5.75,815,1,0,5354.99,6,0
36,40036.46,5.7,35082.4,60,10.61,568,4,1,2580.4,16,0
25,22798.91,31.0,20779.93,48,8.21,682,3,0,1390.56,6,0
43,21946.64,8.9,91541.14,24,7.0,752,1,0,-2269.65,7,0
19,39772.99,4.2,10987.31,36,11.57,523,5,0,2951.73,5,1
45,42664.67,0.2,13614.84,24,5.69,818,2,0,2953.87,13,0
42,265618.3,0.5,13828.89,36,11.32,563,1,0,21680.02,8,1
35,15000.0,0.6,9992.78,60,7.35,711,6,0,1050.48,11,0
36,116301.83,3.6,16330.42,36,7.63,724,2,0,9182.87,0,1
55,41598.31,0.7,33477.46,24,6.16,797,1,1,1980.37,6,0
33,36207.3,2.8,5698.16,60,9.17,678,2,1,2898.52,17,0
39,20033.15,13.5,32975.36,24,6.86,761,2,0,195.13,7,0
26,15000.0,0.1,17694.38,48,7.77,673,2,0,819.94,5,1
25,22791.12,2.2,5187.87,48,7.11,737,4,0,1774.77,0,1
18,16798.94,4.5,4536.97,36,8.62,643,1,1,1256.44,1,0
37,23665.24,2.1,6148.62,48,12.82,454,3,0,1807.7,2,1
41,15000.0,0.6,4161.67,24,9.68,581,5,1,1058.57,11,0
33,25858.87,23.5,8189.26,48,11.11,560,4,0,1942.81,6,0
29,60085.83,4.7,21938.77,48,11.96,502,4,0,4429.85,2,1
36,15000.0,5.5,6435.79,48,8.1,688,5,0,1092.58,9,0
53,37786.03,1.4,32803.11,48,8.19,637,3,0,2345.09,14,0
49,69464.02,7.1,16421.68,60,5.63,802,2,1,5474.01,9,0
36,15000.0,7.4,5344.96,48,5.72,780,0,0,1125.16,14,0
42,24022.52,1.9,13022.93,48,6.23,800,1,0,1694.66,11,0
32,37908.88,8.5,61834.18,24,10.31,604,0,1,296.88,7,0
39,89051.34,2.7,25911.61,48,10.28,569,8,1,6760.27,17,0
40,15205.75,1.9,5223.97,48,11.97,529,2,0,1129.66,6,0
19,49867.65,2.4,3829.26,12,6.51,744,2,0,3825.17,12,0
33,15000.0,5.3,8180.06,24,12.33,532,4,3,863.67,8,1
24,15000.0,10.7,12324.05,24,11.56,503,3,0,672.39,16,0
26,17523.47,6.7,7670.43,60,8.52,697,2,0,1302.84,7,0
66,37127.47,9.9,25749.17,36,10.77,538,3,1,2253.76,5,1
49,16854.32,3.0,7170.64,36,7.31,726,4,0,1182.1,10,0
18,112596.42,2.0,6478.72,12,14.25,382,1,0,8800.57,3,0
24,19311.06,8.0,29382.47,36,7.71,694,3,0,692.44,0,1
18,34873.89,3.6,23648.53,36,9.19,604,3,0,2152.05,7,0
36,72704.06,14.6,16168.14,60,7.1,718,0,0,5737.76,11,0
34,15000.0,5.3,6921.46,24,12.47,475,1,0,922.66,15,1
30,44605.98,16.3,30031.93,36,9.91,620,2,0,2749.39,4,0
31,23749.94,4.5,8141.89,12,14.12,417,5,0,1247.67,17,0
28,42371.29,27.3,10689.61,48,12.57,529,4,1,3246.44,8,1
39,15736.24,0.5,40878.66,36,9.15,657,6,0,8.57,8,1
51,92388.24,2.6,14585.83,48,8.81,597,1,1,7337.37,16,0
39,21360.21,0.7,12623.47,48,7.79,701,5,0,1473.09,2,1
46,39912.11,0.3,33517.59,24,13.64,379,2,0,1722.43,8,1
31,79945.21,4.2,33352.98,36,7.4,725,3,0,5626.15,0,1
42,27744.48,8.9,56154.18,36,9.57,626,1,0,511.42,9,0
33,54288.65,21.5,3320.33,24,7.38,739,4,0,4374.82,6,0
28,22518.22,11.4,3749.69,36,10.42,604,3,0,1754.79,2,1
48,40168.43,10.8,12231.03,36,9.35,618,3,0,2956.43,7,0
31,25999.06,0.9,8609.37,36,8.79,677,2,1,1893.65,12,0
59,53809.09,0.4,22206.35,36,6.51,812,6,0,3803.39,5,1
24,31797.89,17.6,19933.54,24,10.31,557,5,1,1727.14,5,1
21,32278.73,7.3,8353.01,36,11.9,499,2,0,2412.85,12,0
30,93103.94,1.1,3208.75,12,6.1,750,2,1,7482.35,12,0
24,15000.0,14.4,5874.1,48,7.35,753,1,0,1108.38,6,0
19,52289.77,2.0,6748.81,36,11.51,519,2,0,4134.9,0,1
48,92464.39,2.6,19597.2,48,8.5,696,2,0,7222.33,12,0
41,23198.4,2.5,13507.85,48,9.94,579,4,0,1591.0,8,1
38,17804.78,2.5,5385.42,12,5.75,813,5,1,1020.85,0,1
46,30540.99,3.1,38723.67,36,12.35,514,2,1,1252.42,8,1
20,68305.4,0.2,5679.63,48,12.14,518,4,1,5542.16,11,0
37,63698.05,1.6,8089.44,48,12.27,472,4,0,5094.07,0,1
45,106186.12,2.0,31234.76,48,7.06,706,5,0,8100.02,9,0
29,19975.38,5.6,4861.74,12,13.67,472,1,0,1228.85,6,0
20,44478.84,8.2,19757.72,36,11.24,507,3,0,3057.48,9,0
34,40130.1,0.4,7083.57,12,10.86,596,2,1,2718.58,2,1
27,38993.84,16.7,14726.79,24,8.96,677,2,1,2576.97,17,0
26,25305.61,4.9,19252.97,48,5.78,820,4,1,1658.58,4,0
19,45052.02,4.1,26072.24,48,7.42,692,2,0,3124.91,9,0
41,25063.18,2.8,5769.57,60,5.76,809,3,0,1977.7,11,0
53,18529.59,2.5,9901.09,48,12.15,498,5,0,1282.67,10,0
55,148394.88,9.3,9859.89,60,8.57,657,0,1,12163.62,11,0
31,20979.7,1.9,20423.81,48,8.55,674,2,0,1244.41,3,0
50,44862.23,8.8,10902.44,36,4.8,850,2,0,3412.74,16,0
33,18727.62,1.8,21912.65,48,10.19,619,6,0,1002.87,2,1
51,20413.18,2.5,12025.7,12,8.18,696,3,0,654.0,17,0
44,28391.3,1.3,51135.33,36,8.48,637,0,0,752.2,14,0
21,234504.52,7.0,27370.01,60,8.25,717,2,0,18983.8,6,0
32,16626.53,0.2,38165.93,48,7.36,724,3,0,465.23,15,1
23,27616.68,0.1,23860.04,36,10.68,571,4,0,1523.85,13,0
26,127760.36,0.9,14300.07,48,9.11,638,2,0,10290.09,7,0
